№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
254,Jamaican Patois,Jumiekan Kryuol,jam,"1,686","3,022","20,739",1,"7,142",12,0,4,1000
255,Nauruan,dorerin Naoero,na,"1,662","4,877","89,492",2,"11,424",21,4,69,1000
256,Wolof,Wolof,wo,"1,651","5,362","104,384",3,"13,838",10,0,98,1000
257,Kabardian Circassian,Адыгэбзэ (Adighabze),kbd,"1,596","6,739","43,673",1,"9,081",10,0,67,1000
258,Tulu,ತುಳು,tcy,"1,587","8,431","98,74",2,"4,86",15,1,218,1000
259,Novial,Novial,nov,"1,52","4,41","177,68",3,"10,774",13,0,146,1000
260,Nias,Li Niha,nia,"1,513","3,594","17,262",1,"1,166",11,0,9,1000
261,Kikuyu,Gĩkũyũ,ki,"1,503","3,07","20,531",1,"7,912",13,0,7,1000
262,Tetum,Tetun,tet,"1,501","3,898","66,339",2,"8,864",15,0,43,1000
263,Luganda,Luganda,lg,"1,418","4,806","26,701",1,"7,103",15,0,32,1000
264,Bislama,Bislama,bi,"1,364","3,236","41,539",2,"12,082",16,0,24,1000
265,Tok Pisin,Tok Pisin,tpi,"1,352","5,674","86,808",2,"12,276",15,0,156,1000
266,Lojban,Lojban,jbo,"1,304","5,708","111,601",2,"14,897",14,0,223,1000
267,Aromanian,Armãneashce,roa-rup,"1,283","4,25","205,173",1,"12,918",20,0,258,1000
268,Fijian,Na Vosa Vakaviti,fj,"1,275","3,627","35,376",1,"8,3",12,0,33,1000
269,Lak,Лакку,lbe,"1,264","14,594","50,138",2,"7,752",16,0,--,1000
270,Kongo,Kikôngo,kg,"1,254","2,899","43,775",1,"9,906",19,0,26,1000
